ID,Land_Cover_Type,Land_Cover_QC
SLD00957,8.0,0.0
SLD00958,2.0,0.0
SLD00959,2.0,0.0
SLD00960,2.0,0.0
SLD00961,2.0,0.0
SLD00962,2.0,0.0
SLD00963,2.0,0.0
SLD00964,2.0,0.0
SLD00965,8.0,0.0
SLD00966,8.0,0.0
SLD00967,8.0,0.0
SLD00968,8.0,0.0
SLD00969,2.0,0.0
SLD00970,2.0,0.0
SLD00971,8.0,0.0
SLD00972,8.0,0.0
SLD00973,2.0,0.0
SLD00974,8.0,0.0
SLD00975,8.0,0.0
SLD00976,8.0,0.0
SLD00977,8.0,0.0
SLD00978,8.0,0.0
SLD00979,8.0,0.0
SLD00980,2.0,0.0
SLD00981,2.0,0.0
SLD00982,2.0,0.0
SLD00983,8.0,0.0
SLD00984,8.0,0.0
SLD00985,2.0,0.0
SLD00986,2.0,0.0
SLD00987,8.0,0.0
SLD00988,8.0,0.0
SLD00989,8.0,0.0
SLD00990,2.0,0.0
